paras,rewards
[11  0  4  9  1  0],0.8693068684776976
[7 5 0 6 0 1],0.9450812957252899
[ 7  6  5 13  0  0],0.91431172480991
[11  5 19  6  4  0],0.9033814863583094
[ 4  1  3 10  4  0],0.884056490676773
[ 4  6  1 13  1  0],0.9043959374376149
[ 1  3  7 13  4  0],0.8736367101478207
[ 5  2 12 20  0  0],0.9010941228553786
[11  6  8 15  4  0],0.8639709799240571
[ 6  0  4 10  1  1],0.8563464349142875
[ 2  1 11  0  0  1],0.9455859353585463
[ 2  1 17  7  8  0],0.8670246767875596
[ 5  8 18  5  1  0],0.9252484280275016
[9 5 9 5 3 0],0.9239742226506782
[ 4  3 20 18  8  1],0.7439748380964005
[11  5 17  7  7  0],0.8855826926319252
[ 7  8 11  6  1  1],0.9392284844830101
[ 9  2 17 12  6  0],0.8642268553619803
[6 2 5 2 7 0],0.935160336540202
[10  5 10  3  5  1],0.9206704686386444
[6 3 8 4 5 0],0.9252445491679071
[11  8  3  3  6  1],0.9163535565005032
[ 0  9 15  3  8  0],0.9066807150341495
[ 5  6  1 20  3  0],0.8507475596801337
[ 3  9 11  2  7  0],0.9224518995551206
[ 2  9  9 20  7  0],0.7800460343056685
[ 9  1  0 17  5  1],0.8489706540998512
[ 3  5 19  1  2  1],0.9440642587395879
[9 4 3 9 2 1],0.9224486671721251
[11  8  8 15  8  1],0.762525096221577
[6 9 2 6 0 1],0.9455891677415418
[10  8 10  3  6  0],0.923209828719904
[11  2 10  6  2  1],0.9354155655015262
[2 6 1 3 2 0],0.9438077368250655
[ 7  0 20  4  4  1],0.7348098686462987
[ 7  9 18 18  0  1],0.9140610211847795
[ 0  2  3 20  3  1],0.8667739731624291
[ 4  0 13 13  0  1],0.8883721098617161
[ 7  7 16  6  1  1],0.9374515789027276
[2 6 3 0 7 1],0.9222044283129858
[ 9  8 15 12  2  0],0.8955023588638148
[ 7  4 18 11  1  1],0.9247379701048533
[ 4  3  4 16  7  0],0.8304022946298999
[ 3  2 13 11  5  1],0.8810137839154553
[10  2  7 11  3  1],0.9041471732422819
[ 1  7 17 14  3  1],0.8914309785380112
[11  6  0 11  8  0],0.851002788641458
[ 3  5 18  2  7  1],0.8688138654232249
[ 4  5  4 14  3  1],0.8919414364606596
[10  3 17 13  5  1],0.8667720337326318
[ 8  2  4 18  8  0],0.8044555684391159
[ 8  8 14 12  0  1],0.9295724514082329
[6 9 4 7 8 0],0.879987696257366
[11  2  5 17  6  1],0.8332136920640602
[ 8  1  5 12  4  0],0.8784679590682049
[ 3  6  9 16  6  1],0.8375299577256022
[ 8  0 20 16  2  1],0.8087944607816264
[ 5  3 19  6  5  1],0.9018520520201618
[ 6  7  6 20  0  1],0.913548623832334
[ 1  2 15  4  8  1],0.8271024194774608
[ 3  9 17  9  5  1],0.8853345749131911
[11  1 13 20  7  1],0.7666068201729661
[ 3  8 20 18  1  0],0.887360891165406
[ 2  1 13  1  1  1],0.9417736628536615
[9 6 3 3 1 0],0.9483863426905218
[ 9  2 12 14  4  1],0.8779600870519529
[1 9 4 4 3 1],0.9407566258679595
[5 6 7 7 5 1],0.9013493518167026
[ 0  1  6 19  1  1],0.9018643350755446
[ 6  9  4 20  3  1],0.8721111546692677
[11  1 13  6  6  1],0.8774548009420974
[0 4 2 0 0 0],0.9694863045225435
[ 0  8  5 14  6  1],0.8411005772777439
[3 2 6 6 7 0],0.8947353790266441
[ 0  2 16  0  6  1],0.9117717182520514
[ 9  9  8 15  8  1],0.7617613487674019
[8 4 6 6 4 0],0.9112619068060022
[ 5  7 14 10  4  1],0.8934663454626135
[9 8 7 6 0 0],0.937962683301975
[ 1  6 18 20  2  1],0.8838051405750436
[ 6  1 17  9  5  0],0.8858372751166502
[8 9 4 3 3 0],0.9417749558068598
[10  3  5  1  0  0],0.9593172276187215
[ 5  4 13 15  7  0],0.8418455769105452
[ 3  7 13 11  1  0],0.9122802367449023
[ 3  3 19  2  7  0],0.9069437017146629
[5 5 9 4 0 1],0.950421709615124
[11  1  8  4  5  0],0.9163477382111114
[ 1  9  7 14  2  1],0.9043946444844169
[1 0 9 2 0 0],0.8909192276621647
[ 2  0  9 20  8  1],0.5761352904852091
[ 3  1  3 18  6  1],0.8184640698649847
[ 8  5  3 10  7  1],0.8288896686833289
[7 9 7 8 5 0],0.8916862074993355
[8 4 3 6 1 1],0.9417756022834588
[ 2  8  0 17  4  1],0.8675351347102078
[0 0 1 4 2 1],0.8128587298648399
[ 0  4  0 19  4  0],0.8227777496201303
