paras,rewards
[ 5  6  3 15  2  1],0.7571354714211858
[ 7  4 20 12  4  1],0.7529275386418244
[ 9  2 18  8  7  1],0.7014341300055587
[ 5  7 17 11  8  0],0.6902083330654759
[ 8  2 18 10  8  1],0.642444356730071
[ 4  6 14  8  4  1],0.7889986461415033
[ 6  2 19  0  7  0],0.729142729142729
[ 9  0 16 19  5  0],0.43259300402157547
[ 9  6 14  6  4  0],0.7759267044981331
[7 9 0 8 7 0],0.7399940257083114
[ 6  1 14 10  1  0],0.6850687564973279
[ 5  3 20 19  3  0],0.6820678963536106
[11  8 15  5  5  0],0.7747137747137747
[8 7 6 6 4 1],0.8147145290002433
[11  6  6 15  5  1],0.7217812217812218
[4 9 8 5 5 0],0.793714650857508
[ 4  5  0 20  5  0],0.656067156067156
[ 5  8  0 16  7  0],0.660352303209446
[10  2  5  5  8  1],0.6793711793711794
[2 6 5 8 6 0],0.7408518837090265
[9 9 5 4 4 1],0.844210915639487
[ 0  2 13  2  6  0],0.7365694508551651
[10  7 11  4  1  1],0.8499256356399214
[ 1  0 15 20  7  1],0.32160475017617873
[ 9  1 13  8  5  1],0.6275035560749846
[10  0  4  7  3  1],0.48628991486134343
[ 9  3  3 17  6  1],0.6842848271419699
[10  7 10  9  8  1],0.7107127107127107
[ 9  2 15  7  6  1],0.720648077790935
[ 4  5 19 14  7  0],0.6777102491388206
[ 6  5 10  1  7  1],0.833712690855548
[11  1  2 11  1  1],0.6878521164235449
[11  9 10 11  1  0],0.7487763916335345
[ 5  2 18 19  7  0],0.6269214126356983
[ 5  7  5 11  8  1],0.6864255435684007
[ 5  9 16  0  5  1],0.8312097597811883
[ 2  6 11  2  0  1],0.8404271261414118
[11  1  8  6  2  0],0.6927847642133356
[ 5  3  1 12  0  1],0.7516366802081088
[ 5  8 10  8  2  1],0.8072832358546644
[3 0 5 6 6 0],0.40881305167019455
[ 8  2  3 13  4  0],0.6892129034986177
[ 7  7 16  1  5  1],0.8263543263543264
[ 4  6  3 16  1  1],0.7516343944915373
[11  6  8 14  4  1],0.7354271639985925
[9 1 1 8 4 1],0.6404259261402119
[10  3  2 16  4  1],0.7223543652115081
[ 4  8  8 14  7  1],0.7084248512819942
[ 6  6  1 20  6  1],0.6756416042130328
[ 0  4 12 18  4  0],0.6693603122174551
[ 2  1 10  4  5  1],0.6404931404931404
[ 4  7 16 17  6  1],0.6876420447849019
[10  0 16  1  2  0],0.5690832119403548
[ 2  4  0 20  8  0],0.6243478386335529
[2 7 3 3 0 1],0.849710706853564
[ 9  5 20 19  2  1],0.7348460205603062
[11  4  0  8  5  1],0.7852112852112851
[ 4  1  8 18  5  0],0.6004254575683148
[2 0 2 1 5 1],0.4140947712376284
[ 9  2 11 20  5  1],0.6672148815005958
[11  0 11 18  8  1],0.2715972715972716
[2 3 8 4 4 1],0.8215683929969644
[ 3  3 10  6  5  0],0.7705709134280563
[ 2  9  6 14  6  1],0.7159253587825016
[ 0  2  3 15  7  0],0.6518633661490805
[0 0 5 0 4 1],0.4080322651751223
[1 1 1 3 1 1],0.7098494241351385
[ 6  6 18  6  6  0],0.7503562503562504
[ 5  3  2 17  4  1],0.7153570724999296
[11  9 10  6  4  0],0.7827144970002113
[ 1  6  8 12  0  0],0.7126379269236413
[ 9  6 20 14  8  0],0.6677811677811678
[0 0 0 7 7 1],0.3456595599452742
[ 6  5  7 15  5  1],0.7218538647110075
[ 5  1 11  1  1  1],0.7098535669964241
[ 9  1 17  2  6  1],0.6105751820037535
[ 5  7 16 19  5  0],0.6597080882795169
[ 8  0  4 15  1  1],0.5785020785020785
[10  1  1 15  0  1],0.6737863166434594
[ 1  7  1 20  2  0],0.688355902641617
[ 3  8 19  8  4  1],0.7841407841407841
[ 4  9  9 15  6  1],0.7057827772113486
[ 3  9 19  6  1  0],0.7806399949257092
[ 2  0 16 20  8  0],0.36933151218865506
[ 3  4 19 17  2  0],0.7069969927112785
[10  9  8  0  7  0],0.8490669204954919
[6 4 7 6 4 1],0.8121416692845265
[7 5 8 7 7 0],0.750782107924965
[ 8  0  5 19  8  0],0.35903435903435904
[ 2  1  4 11  7  0],0.5955059526488098
[ 2  5 12  9  6  1],0.7609999038570467
[9 0 5 5 4 1],0.4343827915256486
[ 1  4  3 11  1  0],0.7450639593496736
[2 3 2 7 3 0],0.7699238413524128
[ 2  7 14 17  4  1],0.7165695737124309
[ 8  3 19  5  4  1],0.7884259312830741
[6 5 3 9 7 1],0.7526421097849669
[ 7  3  4 13  5  1],0.7342844485701628
[10  8 14  3  8  1],0.7660023374309088
[ 7  8  2 16  4  1],0.7227826513540799
[ 6  2  0 11  3  0],0.7136406422120708
[ 1  3 11  6  2  1],0.8144272429986715
[ 0  7 19  8  5  1],0.7786378500664215
[ 5  1  3 13  6  0],0.6013621013621013
[ 7  8 20  6  2  0],0.7738529167100596
[11  3 18  8  0  0],0.7494246065674637
[ 2  3  2 19  5  0],0.6549965121393693
[4 9 1 7 1 1],0.819854248425677
[ 1  2 17 12  0  1],0.7249203677775107
[ 3  0  3 17  7  1],0.3507300650157793
[10  8  0  6  0  0],0.7829254257825686
[ 1  3 17  1  7  1],0.7827133541419256
